fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file,pit_mouth_rate_inr_mt
2020,Limestone,Rajasthan,803.0,0.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,0.0
2020,Limestone,Andhra Pradesh,15916.0,142617.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,8960.60567981905
2020,Limestone,Karnataka,31496.0,546026.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,17336.360172720346
2020,Limestone,Madhya Pradesh,4629.0,519521.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,112231.79952473537
2020,Limestone,Maharashtra,28738.0,347393.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,12088.280325701162
2020,Limestone,Andhra Pradesh,29293.0,85117.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,2905.711262076264
2020,Limestone,Gujarat,403.0,2626.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,6516.129032258064
2020,Limestone,Madhya Pradesh,901.0,140.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,155.3829078801332
2020,Limestone,Rajasthan,744080.0,766742.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,1030.4564025373616
2020,Limestone,Tamil Nadu,384.0,991.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,2580.7291666666665
2020,Limestone,Rajasthan,708.0,7577.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,10701.977401129943
2020,Limestone,Andhra Pradesh,3588.0,6474.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,1804.3478260869565
2020,Limestone,Tamil Nadu,4930.0,1373.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,278.49898580121703
2020,Limestone,Rajasthan,157047.0,145667.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf,927.5376161276561
2016,Limestone,Chhattisgarh,161.0,157.0,10252016172810MSMP_March2016.pdf,975.1552795031056
2016,Limestone,Andhra Pradesh,134.0,100.0,10252016172810MSMP_March2016.pdf,746.2686567164179
2016,Limestone,Madhya Pradesh,5240.0,5.0,10252016172810MSMP_March2016.pdf,0.9541984732824428
2016,Limestone,Tamil Nadu,7091.0,7074.0,10252016172810MSMP_March2016.pdf,997.6025948385277
2016,Limestone,Andhra Pradesh,17676427.0,17160530.0,10252016172810MSMP_March2016.pdf,970.8144072328644
2016,Limestone,Chhattisgarh,192132705.0,231526617.0,10252016172810MSMP_March2016.pdf,1205.034910636375
2016,Limestone,Gujarat,116177253.0,121797803.0,10252016172810MSMP_March2016.pdf,1048.3790919036448
2016,Limestone,Jharkhand,206484307.0,218742234.0,10252016172810MSMP_March2016.pdf,1059.364932754914
2016,Limestone,Karnataka,44750576.0,63551874.0,10252016172810MSMP_March2016.pdf,1420.1353296547513
2016,Limestone,Madhya Pradesh,152398152.0,129875477.0,10252016172810MSMP_March2016.pdf,852.2116265556816
2016,Limestone,Maharashtra,75061845.0,78450512.0,10252016172810MSMP_March2016.pdf,1045.1450000995846
2016,Limestone,Odisha,322957436.0,289677755.0,10252016172810MSMP_March2016.pdf,896.9533527012519
2016,Limestone,Rajasthan,254713878.0,254512659.0,10252016172810MSMP_March2016.pdf,999.2100194870419
2016,Limestone,Tamil Nadu,70743906.0,72151566.0,10252016172810MSMP_March2016.pdf,1019.8979683140482
