fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2020,Limestone,Andhra Pradesh,216617.0,1874624.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,6345.0,0.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Maharashtra,29693.0,750877.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,803.0,0.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,15916.0,142617.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Karnataka,31496.0,546026.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,4629.0,519521.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Maharashtra,28738.0,347393.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,29293.0,85117.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Gujarat,403.0,2626.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,901.0,140.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,744080.0,766742.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,384.0,991.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,708.0,7577.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,3588.0,6474.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,4930.0,1373.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,157047.0,145667.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2016,Limestone,Chhattisgarh,161.0,157.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,134.0,100.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,20.0,648.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,5240.0,5.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,7.0,3.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,7091.0,7074.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,17676427.0,17160530.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,192132705.0,231526617.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,116177253.0,121797803.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,206484307.0,218742234.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,44750576.0,63551874.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,152398152.0,129875477.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,75061845.0,78450512.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,322957436.0,289677755.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,254713878.0,254512659.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,70743906.0,72151566.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,10067545.0,9090785.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,135446017.0,139855400.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,107508206.0,115106687.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,188450673.0,193135100.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,137073625.0,111478200.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,67134691.0,67045400.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,178117761.0,158984300.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,175480198.0,183151451.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,64526545.0,65334309.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,571887.0,1021101.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,50018575.0,86574032.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,4182952.0,2392149.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,17514868.0,25229041.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,40396223.0,59724653.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,8295414.0,10692344.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,5625538.0,9026263.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,143327083.0,129310849.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,62535533.0,54988812.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,14877.0,44594.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,7036995.0,7048644.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,6668113.0,5097185.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,4486095.0,4298967.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,518766.0,378093.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,4354353.0,3827221.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,7029113.0,7704933.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,2301616.0,2378849.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,1512592.0,1382606.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,16698147.0,16372396.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,6202484.0,6772663.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,134800.0,139855400.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,124100.0,193135100.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,87600.0,111478200.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,38300.0,67045400.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,123600.0,158984300.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,12300.0,17914600.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,10800.0,12590000.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,25200.0,51122400.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,541.0,4474139.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,1526.0,12620215.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,1178.0,9742211.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,1191.0,9849723.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,254.0,4616646.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,4653.0,84571872.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,8848.0,160819240.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,240.0,4362186.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Andhra Pradesh,916.0,504259.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Chhattisgarh,29388.0,85391078.0,10252016172810MSMP_March2016.pdf
